subject,TR,experiment,Model,Manufacturer
VUIISXNAT04_S17053,3.0,VUIISXNAT04_E231410,Achieva,Philips
VUIISXNAT04_S17053,3.0,VUIISXNAT04_E231257,Achieva,Philips
VUIISXNAT04_S17053,3.0,VUIISXNAT04_E231135,Achieva,Philips
VUIISXNAT04_S17053,3.0,VUIISXNAT04_E230963,Achieva,Philips
VUIISXNAT04_S17626,3.0,VUIISXNAT04_E232307,Prisma_fit,Siemens
VUIISXNAT04_S17342,3.0,VUIISXNAT04_E232747,DISCOVERY_MR750,GE
VUIISXNAT04_S17342,3.0,VUIISXNAT04_E231884,DISCOVERY_MR750,GE
VUIISXNAT04_S17060,3.0,VUIISXNAT04_E231237,Achieva,Philips
VUIISXNAT04_S17060,3.0,VUIISXNAT04_E231425,Achieva,Philips
VUIISXNAT04_S17060,3.0,VUIISXNAT04_E231133,Achieva,Philips
VUIISXNAT04_S17060,3.0,VUIISXNAT04_E230970,Achieva,Philips
VUIISXNAT04_S17060,3.0,VUIISXNAT04_E231535,Achieva,Philips
VUIISXNAT04_S17268,3.0,VUIISXNAT04_E231795,DISCOVERY_MR750,GE
VUIISXNAT04_S17268,3.0,VUIISXNAT04_E232471,DISCOVERY_MR750,GE
VUIISXNAT04_S17268,3.0,VUIISXNAT04_E232109,DISCOVERY_MR750,GE
VUIISXNAT04_S17268,3.0,VUIISXNAT04_E232499,DISCOVERY_MR750,GE
VUIISXNAT04_S17320,0.607,VUIISXNAT04_E231861,Prisma_fit,Siemens
VUIISXNAT04_S17320,0.607,VUIISXNAT04_E232329,Prisma_fit,Siemens
VUIISXNAT04_S17340,3.0,VUIISXNAT04_E231882,SIGNA_Premier,GE
VUIISXNAT04_S17263,3.0,VUIISXNAT04_E232106,DISCOVERY_MR750,GE
VUIISXNAT04_S17263,3.0,VUIISXNAT04_E232465,DISCOVERY_MR750,GE
VUIISXNAT04_S17263,3.0,VUIISXNAT04_E231790,DISCOVERY_MR750,GE
VUIISXNAT04_S17263,3.0,VUIISXNAT04_E232496,DISCOVERY_MR750,GE
